   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.436476      0.518294E-01  0.373148      0.113740      0.373895E-02  0.103542E-02  0.369409      0.112705      0.477437E-02  0.338698E-02  0.587620E-03  0.443623E-03  0.351966E-03   0.00000       0.00000      0.447802E-03
  0.478586      0.317827E-01  0.299313      0.824510E-01  0.212719E-02  0.489081E-03  0.297185      0.819619E-01  0.261627E-02  0.193149E-02  0.276208E-03  0.210464E-03  0.195696E-03   0.00000       0.00000      0.212873E-03
  0.524759      0.178338E-01  0.223982      0.553879E-01  0.108689E-02  0.202197E-03  0.222895      0.551857E-01  0.128909E-02  0.988401E-03  0.113463E-03  0.874784E-04  0.984926E-04   0.00000       0.00000      0.887344E-04
  0.575386      0.889535E-02  0.152474      0.336298E-01  0.481547E-03  0.702710E-04  0.151992      0.335596E-01  0.551818E-03  0.438044E-03  0.391024E-04  0.305954E-04  0.435026E-04   0.00000       0.00000      0.311686E-04
  0.630897      0.377088E-02  0.908255E-01  0.177569E-01  0.175209E-03  0.193027E-04  0.906502E-01  0.177376E-01  0.194512E-03  0.159131E-03  0.106227E-04  0.846261E-05  0.160778E-04   0.00000       0.00000      0.868003E-05
  0.691764      0.126025E-02  0.443813E-01  0.764469E-02  0.478129E-04  0.378368E-05  0.443334E-01  0.764091E-02  0.515966E-04  0.432194E-04  0.205233E-05  0.166851E-05  0.459357E-05   0.00000       0.00000      0.173135E-05
  0.758504      0.284692E-03  0.157234E-01  0.236965E-02  0.818294E-05  0.426603E-06  0.157152E-01  0.236922E-02  0.860954E-05  0.732102E-05  0.227324E-06  0.187691E-06  0.861914E-06   0.00000       0.00000      0.199279E-06
  0.831682      0.322254E-04  0.309387E-02  0.405411E-03  0.609184E-06  0.180812E-07  0.309326E-02  0.405393E-03  0.627265E-06  0.531328E-06  0.943793E-08  0.768065E-08  0.778559E-07   0.00000       0.00000      0.864324E-08
  0.911920      0.668177E-06  0.143392E-03  0.161726E-04  0.596320E-08  0.569777E-10  0.143386E-03  0.161726E-04  0.602018E-08  0.479014E-08  0.281540E-10  0.176139E-10  0.117307E-08   0.00000       0.00000      0.288236E-10
  0.999900      0.280916E-13  0.258354E-10  0.244320E-11  0.142787E-16  0.220737E-17  0.258354E-10  0.244320E-11  0.164861E-16  -.538978E-17  0.536289E-18  0.152918E-17  0.196685E-16   0.00000       0.00000      0.167108E-17
